title,community,model,area,price,ave,time,link,longitude,latitude
温馨一室，生活很便利，链家房源，有钥匙方便看,潍坊九村,1室1厅,29平,4600,158,2017.07.30上架,http://sh.lianjia.com/zufang/shz4125694.html,121.5333359,31.2270147
上下楼方便，一室小户型，生活很便利，多次带看,上南二村,1室0厅,30平,3300,110,2017.07.23上架,http://sh.lianjia.com/zufang/shz4112433.html,121.501829,31.182348
德州三村，地铁沿线，温馨之家，有爱有家,德州三村,1室0厅,29平,3000,103,2017.07.12上架,http://sh.lianjia.com/zufang/shz4091978.html,121.4957505,31.1748952
有钥匙房源，精致户型，多次带看，好房待租,联洋年华,2室2厅,112平,12500,111,2017.06.22上架,http://sh.lianjia.com/zufang/shz4049070.html,121.561114,31.232919
光线棒，新出好房，看房有钥匙，放心好房,潍坊九村,2室0厅,52平,6100,117,2017.08.14上架,http://sh.lianjia.com/zufang/shz4157570.html,121.5333359,31.2270147
东方知音苑，新鲜挂牌，看房客户多，房型正气,东方知音苑,3室2厅,117平,8500,72,2017.08.10上架,http://sh.lianjia.com/zufang/shz4074379.html,121.579989,31.261946
生活很便利，高区阳光房，看房有钥匙，新鲜上架,崮山小区三街坊,1室1厅,45平,4000,88,2017.08.10上架,http://sh.lianjia.com/zufang/shz4001407.html,121.568311,31.245956
两室户，交通方便，光线充足，有钥匙方便看,崂山五村,2室1厅,47平,5800,123,2017.08.11上架,http://sh.lianjia.com/zufang/shz4150125.html,121.524189,31.243051
链家有钥匙，享受好房，一室小户型，实地看房,云台二小区,1室1厅,49平,4200,85,2017.07.10上架,http://sh.lianjia.com/zufang/shz4088391.html,121.514875,31.182086
上南六村，有爱有家，低区出入方便，高清实拍,上南六村,2室0厅,51平,5300,103,2017.08.06上架,http://sh.lianjia.com/zufang/shz4141904.html,121.507198,31.183998
张江汤臣豪园，有爱有家，光线充足，出行方便,张江汤臣豪园（二期）,3室2厅,123平,13200,107,2017.08.06上架,http://sh.lianjia.com/zufang/shz4141014.html,121.603671,31.208036
出行方便，温馨一室，最近看房多，享受好房,中远行家,1室1厅,77平,6500,84,2017.08.06上架,http://sh.lianjia.com/zufang/shz4140835.html,121.5359157,31.21060033
东陆新村二街坊，2室1厅，受欢迎好房，好房待租,东陆新村二街坊,2室1厅,65平,4600,70,2017.08.06上架,http://sh.lianjia.com/zufang/shz4140785.html,121.6061953,31.27885008
