area,price,title,community,link,time,Latitude,model
29平,4600,潍坊九村，钥匙房，1室1厅1卫，附近有地铁,潍坊九村,/zufang/shz4125694.html,2017.07.30上架,"[u'121.5333359', u'31.2270147']",1室1厅
64平,6200,竹园高层，实地看房，如您所见，看房有钥匙,竹园高层,/zufang/shz4114980.html,2017.07.24上架,"[u'121.537486', u'31.235864']",1室1厅
30平,3300,上南二村，交通便利，温馨之家，人气房源,上南二村,/zufang/shz4112433.html,2017.07.23上架,"[u'121.501829', u'31.182348']",1室0厅
47平,5300,真实在租，南北户型，光线充足，有钥匙,宛南二村,/zufang/shz4101337.html,2017.07.17上架,"[u'121.455611', u'31.188661']",2室0厅
29平,3000,德州三村，地铁沿线，温馨之家，有爱有家,德州三村,/zufang/shz4091978.html,2017.07.12上架,"[u'121.4957505', u'31.1748952']",1室0厅
61平,4600,平南一二村，多次带看，高清大图，两室户,平南一二村,/zufang/shz4090549.html,2017.07.12上架,"[u'121.402152', u'31.159642']",2室1厅
41平,3700,低区出入方便，好房好心情，人气房源，附近有地铁,龙南七村,/zufang/shz4053478.html,2017.06.24上架,"[u'121.459296', u'31.164613']",1室1厅
112平,12500,联洋年华，人气房源，如您所见，有钥匙方便看,联洋年华,/zufang/shz4049070.html,2017.06.22上架,"[u'121.561114', u'31.232919']",2室2厅
59平,6000,又一村，高清实拍，南北通透，简约二室,又一村（长宁）,/zufang/shz4038650.html,2017.06.17上架,"[u'121.435778', u'31.211727']",2室1厅
110平,7600,附近有地铁，有钥匙方便看，空气清新，链家好房,泰德花苑,/zufang/shz3992506.html,2017.05.27上架,"[u'121.438831', u'31.190639']",2室2厅
31平,4800,白玉新村，出行方便，高清大图，放心好房,白玉新村,/zufang/shz3817493.html,2017.03.05上架,"[u'121.4224552', u'31.23989981']",1室0厅
35平,3500,交通便利，温馨之家，有钥匙，多次带看,田林十二村,/zufang/shz4160386.html,2017.08.16上架,"[u'121.436477', u'31.178974']",1室0厅
52平,6100,光线棒，新出好房，看房有钥匙，放心好房,潍坊九村,/zufang/shz4157570.html,2017.08.14上架,"[u'121.5333359', u'31.2270147']",2室0厅
69平,5200,东上海中心，钥匙在店，生活很便利，人气房源,东上海中心,/zufang/shz4153045.html,2017.08.12上架,"[u'121.526294', u'31.298355']",1室2厅
94平,2830,公安住宅小区，新出房源，生活很便利，高清实拍,公安住宅小区,/zufang/shz4152328.html,2017.08.12上架,"[u'121.430805', u'31.188075']",3室2厅
37平,4000,鞍山五村，上门实勘，地铁沿线，有钥匙房源,鞍山五村,/zufang/shz4150267.html,2017.08.11上架,"[u'121.5126025', u'31.2821057']",1室0厅
94平,12500,苏堤春晓名苑，高区景观房，多次带看，2室2厅,苏堤春晓名苑,/zufang/shz4148683.html,2017.08.10上架,"[u'121.436246', u'31.242947']",2室2厅
97平,12500,交通方便，钥匙房，适合自住，高清实拍,上海壹街区,/zufang/shz4127383.html,2017.08.16上架,"[u'121.471921', u'31.239668']",2室2厅
36平,6500,好楼层，交通方便，新鲜好房，1室0厅,又一村（静安）,/zufang/shz4119354.html,2017.08.11上架,"[u'121.452362', u'31.236111']",1室0厅
117平,8500,东方知音苑，新鲜挂牌，看房客户多，房型正气,东方知音苑,/zufang/shz4074379.html,2017.08.10上架,"[u'121.579989', u'31.261946']",3室2厅
45平,4000,生活很便利，高区阳光房，看房有钥匙，新鲜上架,崮山小区三街坊,/zufang/shz4001407.html,2017.08.10上架,"[u'121.568311', u'31.245956']",1室1厅
145平,18000,改善住房，多次带看，新上房源，南北户型,百汇园,/zufang/shz3993703.html,2017.08.18上架,"[u'121.466685', u'31.178622']",3室2厅
40平,5000,新顺小区，看房有钥匙，低楼层，放心好房,新顺小区,/zufang/shz4116867.html,2017.07.25上架,"[u'121.4262708', u'31.20405458']",1室1厅
108平,8000,好房待租，人气房源，空气清新，近地铁,大华锦绣华城（十一街区）,/zufang/shz4001969.html,2017.06.01上架,"[u'121.542584', u'31.187407']",2室2厅
93平,11500,钥匙房，实地看房，如您所见，2室2厅1卫,恒升大厦,/zufang/shz4140310.html,2017.08.05上架,"[u'121.488916', u'31.216788']",2室2厅
89平,7800,悦公馆，2室2厅1卫，交通方便，人气房源,悦公馆,/zufang/shz4135386.html,2017.08.03上架,"[u'121.459195', u'31.294474']",2室2厅
60平,6800,有钥匙，光线非常好，好房待租，交通方便,昭化小区,/zufang/shz4130301.html,2017.08.01上架,"[u'121.4281702', u'31.2178355']",2室1厅
117平,8800,宜山路691弄，改善住房，附近有地铁，好房待租,宜山路691弄,/zufang/shz4129227.html,2017.07.31上架,"[u'121.428372', u'31.181165']",3室2厅
38平,3500,康健路120弄，交通方便，链家好房，钥匙房,康健路120弄,/zufang/shz4104888.html,2017.07.19上架,"[u'121.4330018', u'31.17159615']",1室1厅
59平,6200,浦东南路2054弄，闹中取静，实地看房，2室1厅1卫,浦东南路2054弄,/zufang/shz4101931.html,2017.07.17上架,"[u'121.5237787', u'31.21689829']",2室1厅
53平,6200,瑞福南大楼，南北通，1室1厅1卫，人气房源,瑞福南大楼,/zufang/shz4098960.html,2017.07.16上架,"[u'121.4877059', u'31.23473533']",1室1厅
49平,4200,链家有钥匙，享受好房，一室小户型，实地看房,云台二小区,/zufang/shz4088391.html,2017.07.10上架,"[u'121.514875', u'31.182086']",1室1厅
34平,4500,芷江西路270弄，看房有钥匙，交通方便，温馨一室,芷江西路270弄,/zufang/shz4083853.html,2017.07.08上架,"[u'121.4665796', u'31.26329577']",1室0厅
26平,4800,高清大图，小户型，链家房源，实地看房,长宁路405弄,/zufang/shz4075128.html,2017.07.04上架,"[u'121.4338878', u'31.2290898']",1室1厅
84平,5000,南杨小区，简约二室，高区景观房，实地看房,南杨小区（长清路）,/zufang/shz4068322.html,2017.07.01上架,"[u'121.498509', u'31.165334']",2室2厅
51平,5000,海南西弄54号，人气房源，高清大图，光线棒,海南西弄54号,/zufang/shz4067312.html,2017.06.30上架,"[u'121.5038981', u'31.21654066']",2室1厅
86平,6500,舒适三室，实地看房，上门实拍，附近有地铁,浦江颐城（公寓）,/zufang/shz3931907.html,2017.05.01上架,"[u'121.505493', u'31.106374']",3室1厅
40平,4400,链家好房，近地铁，好楼层，人气房源,田林七村,/zufang/shz4150444.html,2017.08.11上架,"[u'121.4261322', u'31.17881172']",1室1厅
43平,5000,桥一小区，有钥匙房源，空气清新，小户型,桥一小区,/zufang/shz4149816.html,2017.08.11上架,"[u'121.487565', u'31.208687']",1室1厅
35平,3300,友谊二村，看房有钥匙，低楼层，实地看房,友谊二村,/zufang/shz4149739.html,2017.08.11上架,"[u'121.485998', u'31.29153669']",1室0厅
57平,4500,国和一村，上下楼方便，精致户型，好房好心情,国和一村,/zufang/shz4147730.html,2017.08.10上架,"[u'121.532785', u'31.321813']",2室1厅
42平,6800,中福花苑，放心好房，看房有钥匙，附近有地铁,中福花苑,/zufang/shz4147506.html,2017.08.10上架,"[u'121.505573', u'31.216381']",1室1厅
102平,8700,空气清新，真实在租，两室户，人气房源,中远两湾城,/zufang/shz4147011.html,2017.08.09上架,"[u'121.451405', u'31.259226']",2室2厅
31平,4800,襄阳南路388弄，钥匙在店，高清照片，空气清新,襄阳南路388弄,/zufang/shz4146762.html,2017.08.09上架,"[u'121.464226', u'31.213842']",1室0厅
60平,4600,东体小区，高清实拍，实地看房，两室户,东体小区,/zufang/shz4146445.html,2017.08.09上架,"[u'121.495367', u'31.285732']",2室1厅
118平,8500,高清大图，房型正气，交通便利，钥匙在链家,阳光美景城,/zufang/shz4146377.html,2017.08.09上架,"[u'121.415413', u'31.14766']",3室2厅
72平,4800,平吉二村，高区采光好，生活很便利，简约二室,平吉二村,/zufang/shz4146237.html,2017.08.09上架,"[u'121.389194', u'31.149045']",2室1厅
53平,4300,静安新城，上门实拍，生活很便利，小户型,静安新城（五区）,/zufang/shz4145181.html,2017.08.08上架,"[u'121.389197', u'31.169577']",1室1厅
64平,6000,玉兰花苑，多次带看，交通便利，好房待租,玉兰花苑,/zufang/shz4145087.html,2017.08.08上架,"[u'121.441486', u'31.191995']",1室1厅
46平,6800,低区出入方便，精致户型，有爱有家，人气房源,南塘浜路93弄,/zufang/shz4144773.html,2017.08.08上架,"[u'121.480571', u'31.210266']",2室0厅
65平,4300,淞南四村，简约二室，生活很便利，一链倾城,淞南四村,/zufang/shz4144489.html,2017.08.08上架,"[u'121.499254', u'31.35128406']",2室1厅
78平,4000,生活很便利，好房待租，看房客户多，高清大图,新凯家园,/zufang/shz4144345.html,2017.08.08上架,"[u'121.2400431', u'31.11265928']",2室2厅
50平,4500,泰山三村，看房有钥匙，看房客户多，简约二室,泰山三村,/zufang/shz4144114.html,2017.08.08上架,"[u'121.448946', u'31.264012']",2室1厅
38平,3500,市光三村，钥匙在店，地铁沿线，低楼层,市光三村,/zufang/shz4144045.html,2017.08.07上架,"[u'121.545871', u'31.324487']",1室0厅
31平,3500,唐山路1280弄，1室0厅1卫，有钥匙，一链倾城,唐山路1280弄,/zufang/shz4143991.html,2017.08.07上架,"[u'121.5207675', u'31.27017735']",1室0厅
32平,5000,好房待租，温馨之家，有钥匙，多次带看,圣天地酒店式公寓,/zufang/shz4143444.html,2017.08.07上架,"[u'121.450132', u'31.249045']",1室1厅
24平,4000,蓝朝部落，钥匙在店，温馨一室，交通便利,蓝朝部落,/zufang/shz4142961.html,2017.08.07上架,"[u'121.43583', u'31.234041']",1室0厅
57平,6800,石油公寓，高区景观好，如您所见，温馨一室,石油公寓,/zufang/shz4142126.html,2017.08.06上架,"[u'121.439723', u'31.203625']",1室1厅
70平,8500,中福浦江汇，看房客户多，交通便利，两室户,中福浦江汇,/zufang/shz4142086.html,2017.08.06上架,"[u'121.504622', u'31.214994']",2室1厅
34平,3200,国和二村，放心好房，1室1厅，交通方便,国和二村,/zufang/shz4142074.html,2017.08.06上架,"[u'121.535213', u'31.325842']",1室1厅
51平,5300,上南六村，有爱有家，低区出入方便，高清实拍,上南六村,/zufang/shz4141904.html,2017.08.06上架,"[u'121.507198', u'31.183998']",2室0厅
51平,4700,田林十一村，低楼层，交通方便，真实在租,田林十一村,/zufang/shz4141553.html,2017.08.06上架,"[u'121.432385', u'31.177861']",2室1厅
70平,6000,古美小区，近地铁，享受好房，看房有钥匙,古美小区,/zufang/shz4141401.html,2017.08.06上架,"[u'121.404954', u'31.160694']",3室1厅
49平,4200,高清照片，生活很便利，最近看房多，如您所见,古美三村,/zufang/shz4141203.html,2017.08.06上架,"[u'121.408774', u'31.147593']",1室1厅
123平,13200,张江汤臣豪园，有爱有家，光线充足，出行方便,张江汤臣豪园（二期）,/zufang/shz4141014.html,2017.08.06上架,"[u'121.603671', u'31.208036']",3室2厅
36平,4500,田林十四村，高区景观好，附近有地铁，温馨一室,田林十四村,/zufang/shz4140865.html,2017.08.06上架,"[u'121.4298131', u'31.18186825']",1室0厅
77平,6500,中远行家，上门实勘，一链倾城，小户型,中远行家,/zufang/shz4140835.html,2017.08.06上架,"[u'121.5359157', u'31.21060033']",1室1厅
65平,4600,东陆新村二街坊，2室1厅，受欢迎好房，好房待租,东陆新村二街坊,/zufang/shz4140785.html,2017.08.06上架,"[u'121.6061953', u'31.27885008']",2室1厅
38平,3500,多次带看，温馨之家，链家有钥匙，上门实拍,控江路1200弄,/zufang/shz4140410.html,2017.08.06上架,"[u'121.533023', u'31.284686']",1室1厅
63平,6800,看房客户多，看房有钥匙，链家好房，适合自住,南园小区,/zufang/shz4140311.html,2017.08.05上架,"[u'121.480363', u'31.202975']",2室1厅
42平,3600,最近看房多，如您所见，附近有地铁，上门实拍,祁连二村,/zufang/shz4139952.html,2017.08.05上架,"[u'121.387352', u'31.322801']",2室0厅
87平,6300,一品漫城，南北通透，出行方便，多次带看,一品漫城（一期）（公寓）,/zufang/shz4139826.html,2017.08.05上架,"[u'121.501431', u'31.123422']",2室2厅
33平,6000,东昌新村，光线充足，小户型，上门实拍,东昌新村,/zufang/shz4139621.html,2017.08.05上架,"[u'121.51825', u'31.23831918']",1室1厅
29平,4600,上南二村，享受好房，实地看房，低区出入方便,上南二村,/zufang/shz4139551.html,2017.08.05上架,"[u'121.501829', u'31.182348']",1室0厅
58平,2700,新华小区，链家有钥匙，放心好房，地铁沿线,新华小区,/zufang/shz4139550.html,2017.08.05上架,"[u'121.4154697', u'31.01381566']",2室1厅
60平,8500,最近看房多，光线非常好，上门实勘，温馨之家,徐家汇花园,/zufang/shz4139344.html,2017.08.05上架,"[u'121.453761', u'31.199951']",1室2厅
42平,4000,好房待租，出行方便，小户型，看房客户多,金桥新村四街坊（博兴路986弄）,/zufang/shz4138297.html,2017.08.05上架,"[u'121.597263', u'31.27067103']",1室1厅
73平,7000,看房有钥匙，精致户型，好房好心情，空气清新,牡丹小区（浦东）,/zufang/shz4137393.html,2017.08.04上架,"[u'121.5520389', u'31.21342712']",2室1厅
29平,4000,链家房源，一室小户型，生活很便利，实地看房,又一村（静安）,/zufang/shz4137242.html,2017.08.04上架,"[u'121.452362', u'31.236111']",1室1厅
33平,4500,鞍山四村第三小区，交通方便，光线充足，人气房源,鞍山四村第三小区,/zufang/shz4136934.html,2017.08.04上架,"[u'121.514523', u'31.280994']",1室1厅
57平,4500,洛川中路1100弄，钥匙在店，视野很好，享受好房,洛川中路1100弄,/zufang/shz4136489.html,2017.08.04上架,"[u'121.4560535', u'31.27070761']",2室0厅
37平,3800,实地看房，1室1厅，高清实拍，高区采光好,引翔港小区,/zufang/shz4136327.html,2017.08.04上架,"[u'121.5458777', u'31.27875882']",1室1厅
54平,10000,淡水湾花园，有钥匙方便看，温馨之家，光线充足,淡水湾花园,/zufang/shz4136323.html,2017.08.04上架,"[u'121.48192', u'31.216363']",1室1厅
56平,3800,南大路76弄，高清照片，交通方便，最近看房多,南大路76弄,/zufang/shz4135892.html,2017.08.03上架,"[u'121.4122001', u'31.30575415']",2室1厅
34平,3600,密云路471弄，有爱有家，闹中取静，看房有钥匙,密云路471弄,/zufang/shz4135522.html,2017.08.03上架,"[u'121.5020471', u'31.28878984']",1室0厅
26平,3500,温馨一室，附近有地铁，实地看房，钥匙在链家,何家宅小区,/zufang/shz4135460.html,2017.08.03上架,"[u'121.48269', u'31.280439']",1室1厅
